TIME,Cycle_Status,Unit_SN,Heat_Call,Defrost,Alarm_Register_1,Alarm_Register_2,Alarm_Register_3,AMB_Fahr_W,Cond_LWT_Fahr_W,Cond_EWT_Fahr_W,Cond_Flow_F,Evap1_Fahr_W,Evap2_Fahr_W,Cold_Sensor_Fahr_W,Warm_Sensor_Fahr_W,SLT_Fahr_W,SH_F,DLP_W,SLP_W,Flow_Percent_Set_W,VFP_Head_ft_F,Circ_Pump_Output,Evap_Flow_Output,LLSV_Output,Comp_Output,HGBV_Output,AOTS,Remote_Enable,Comp_Feedback,MMP_Aux,Voltage_Monitor,O.P.S.S.,F.C._Aux,Evap_Flow,Pan_Sensor,Damper_Switch,TT_High,TT_ODR,Cond_Heat_Output,Defrost_Heat_Output,Pan_Heat_Output,PD_ctl,SP_HC_Cut_In,EWT_Block,MP_HC_Cut_In,MP_HC_Cut_Out,BMS_Heat_Call,MCP6_HC_Rgstr,Master_Comm_Status,Member_Unit_Status,MCPLA_HeatCall,mqtt_member_status,Cond_Flow_Verif,Flow_Valve_Verif,PID_Start,Pump_OFF_Delay,HGBV_Max,Post_HGBV_Fan,Defrost_Enable,VFP_Setpoint_W,Hardware_IO_Map_W,K2_EEV_POS,Tank_Storage_Temp,Demand_Diff,Cold_Sensor_Cut_In_F,Hot_Sensor_Cut_In_F,Cond_LWT_Input_F,Startup_GPM_F,CFlow_Low_Limit_F,Start_Valve_Pos_F,Min_Valve_Pos_F,Defrost_Cut_In_F,Defrost_Cut_Out_F,HGBV_PSIG_Cut_In_F,HGBV_PSIG_Cut_Out_F,Freeze_Po_1_Cut_In,Freeze_Po_1_Cut_Out,Freeze_Pro_2_Cut_In,Freeze_Pro_2_Cut_Out,WS_FrzPro2_Cut_In,WS_FrzPro2_Cut_Out,Purge_Cut_Out_Fahr_F,Kp_Input,Ki_Input,Kd_Input,PID_Start_Diff_F,Pump_Delay_Time,Max_Pump_Duration,CFlow_VerifFail_Time,Manual_EvapFlow_TIME,EFlow_VerifFail_Time,Defr_Cut_In_Delay_W,Def_Enable_Time_W,Def_Max_Dur_Time_W,Post_Def_Fan_Time_W,HGBV_Duration_W,PostHGBVFan_Time_W,Max_Purge_Time,SinglePass_Config,Glycol_Source_Config,CWP_Config,K2_Config,Standby_Valve_Pos,HGBV_Defrost_Enable,HGBV_Disable,Unit_Model,Pump_Down_PSIG_F,Amb_Range_LOW,InitSV_Max_F,SrcTemp_SwitchTemp_F,EWT_Cut_Out_F,Demand_Mode,Unit_number,StaticIP_Status,ODR_LWT_Min_F,ODR_LWT_Max_F,ODR_Amb_Min_F,ODR_Amb_Max_F,HPB_WWSD_F,Password_Lock,Dev_psswrd_Lock,Service_Lock,Manual_Ctl_Status_W,Ducted_Config,Fans_Adj_Input_F
2025-10-22T14:06:41,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:45,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:47,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:48,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:50,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:51,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:53,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:54,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:57,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:06:58,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:07:00,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:07:01,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
2025-10-22T14:07:03,False,0.0,False,False,0,0,0,78,132,123,0.2,71,0.0,81,79,86,79.0,167,14,0,0.0,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,21553,False,False,False,False,False,True,False,False,False,False,False,0,4507,0,140.0,95.0,100.0,125.0,160.0,3.0,0.5,44.346,20.0,19.0,40.0,20.0,30.0,36.0,40.0,34.0,38.0,34.0,38.0,120.0,2.0,2.0,0.01,30.0,15,1000,60,300,60,60,600,3600,60,3600,60,60,True,False,True,True,False,False,False,9,2.0,10.0,50.0,95.0,175.0,False,100,0,100.0,160.0,30.0,70.0,70.0,True,False,True,0,False,0.0
